account_from;account_to;sender;receiver;amount;channel;currency;date;flag;location;transaction_type;transaction_id
Account 7;Account 9;Businesses 7;Businesses 9;1810.48;Paym;GBP;3/01/2021 9:03;transaction;UK;0.1;165
Account 7;Account 9;Businesses 7;Businesses 9;333.74;LINK;GBP;3/01/2021 9:03;transaction;UK;0.1;166
Account 7;Account 9;Businesses 7;Businesses 9;4191.23;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.1;167
Account 76;Account 91;Individuals 66;Individuals 81;18.22;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;168
Account 70;Account 2;Individuals 60;Businesses 2;58.32;Paym;GBP;3/01/2021 9:03;transaction;UK;0.2;169
Account 70;Account 75;Individuals 60;Individuals 65;68.25;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;170
Account 70;Account 75;Individuals 60;Individuals 65;31.31;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;171
Account 70;Account 75;Individuals 60;Individuals 65;70.74;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;172
Account 70;Account 75;Individuals 60;Individuals 65;100.62;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;173
Account 70;Account 75;Individuals 60;Individuals 65;10.12;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;174
Account 70;Account 75;Individuals 60;Individuals 65;18.2;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;175
Account 8;Account 4;Businesses 8;Businesses 4;1912.72;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.1;176
Account 8;Account 4;Businesses 8;Businesses 4;2715.2;C&CCC;GBP;3/01/2021 9:03;transaction;UK;5;177
Account 8;Account 4;Businesses 8;Businesses 4;2026.54;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.1;178
Account 8;Account 4;Businesses 8;Businesses 4;649.45;FPS;GBP;3/01/2021 9:03;transaction;UK;0.1;179
Account 8;Account 4;Businesses 8;Businesses 4;512.8;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.1;180
Account 8;Account 4;Businesses 8;Businesses 4;1191.86;Paym;GBP;3/01/2021 9:03;transaction;UK;0.1;181
Account 8;Account 4;Businesses 8;Businesses 4;1759.5;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.1;182
Account 0;Account 5;Fraudulent_businesses 0;Businesses 5;329.06;FPS;GBP;3/01/2021 9:03;transaction;UK;0.1;183
Account 0;Account 5;Fraudulent_businesses 0;Businesses 5;200.17;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.1;184
Account 0;Account 96;Fraudulent_businesses 0;Individuals 86;1029.53;LINK;GBP;3/01/2021 9:03;transaction;UK;5;185
Account 0;Account 5;Fraudulent_businesses 0;Businesses 5;750.82;CHAPS;GBP;3/01/2021 9:03;transaction;UK;3.3;186
Account 0;Account 96;Fraudulent_businesses 0;Individuals 86;1028.42;Bacs;GBP;3/01/2021 9:03;transaction;UK;5;187
Account 38;Account 4;Individuals 28;Businesses 4;33.94;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;188
Account 87;Account 72;Individuals 77;Individuals 62;82.68;Paym;GBP;3/01/2021 9:03;transaction;UK;0.2;189
Account 87;Account 72;Individuals 77;Individuals 62;48.81;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;190
Account 87;Account 72;Individuals 77;Individuals 62;63.23;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;191
Account 87;Account 72;Individuals 77;Individuals 62;75.99;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;192
Account 87;Account 72;Individuals 77;Individuals 62;7.75;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;193
Account 87;Account 72;Individuals 77;Individuals 62;28.53;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;194
Account 87;Account 72;Individuals 77;Individuals 62;13.44;Paym;GBP;3/01/2021 9:03;transaction;UK;0.2;195
Account 87;Account 72;Individuals 77;Individuals 62;0.41;Paym;GBP;3/01/2021 9:03;transaction;UK;0.2;196
Account 13;Account 80;Fraudulent_individuals 3;Individuals 70;96.08;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;197
Account 1;Account 89;Businesses 1;Individuals 79;1072.38;FPS;GBP;3/01/2021 9:03;transaction;UK;5;198
Account 92;Account 75;Individuals 82;Individuals 65;36.63;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;199
Account 40;Account 43;Individuals 30;Individuals 33;32.74;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;200
Account 40;Account 43;Individuals 30;Individuals 33;74.94;Paym;GBP;3/01/2021 9:03;transaction;UK;0.2;201
Account 61;Account 1;Individuals 51;Businesses 1;62.28;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;202
Account 61;Account 11;Individuals 51;Fraudulent_individuals 1;102.92;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.2;203
Account 95;Account 42;Individuals 85;Individuals 32;115.2;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.2;204
Account 95;Account 42;Individuals 85;Individuals 32;0.93;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;205
Account 58;Account 34;Individuals 48;Individuals 24;43.42;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.2;206
Account 89;Account 46;Individuals 79;Individuals 36;7.82;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;207
Account 5;Account 4;Businesses 5;Businesses 4;1566.06;FPS;GBP;3/01/2021 9:03;transaction;UK;0.1;208
Account 79;Account 29;Individuals 69;Individuals 19;41.89;Bacs;GBP;3/01/2021 9:03;transaction;UK;0.2;209
Account 50;Account 93;Individuals 40;Individuals 83;38.15;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;210
Account 83;Account 96;Individuals 73;Individuals 86;51.66;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;211
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;29;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;212
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;130;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;213
Account 15;Account 9;Fraudulent_individuals 5;Businesses 9;11.42;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;214
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;143.3;CHAPS;GBP;3/01/2021 9:03;transaction;UK;0.2;215
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;24.81;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;216
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;5.19;FPS;GBP;3/01/2021 9:03;transaction;UK;0.2;217
Account 15;Account 61;Fraudulent_individuals 5;Individuals 51;104.7;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;218
Account 62;Account 40;Individuals 52;Individuals 30;74.16;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;219
Account 62;Account 40;Individuals 52;Individuals 30;9.75;LINK;GBP;3/01/2021 9:03;transaction;UK;0.2;220
Account 24;Account 37;Individuals 14;Individuals 27;20.44;C&CCC;GBP;3/01/2021 9:03;transaction;UK;0.2;221
